[h +sw][-s +sw][hw +sw][+sw],top,aclu.org
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.ca
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.co.uk
[h *sw][*s *sw][hw *sw][*sw],top,airbnb.com
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.com.au
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.es
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.it
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.nl
[h *sw][-s *sw][hw *sw][*sw],top,airbnb.ru
[h +s -https://www.aladdin.ie][+s][hw +sw][+sw],top,aladdinschools.appspot.com
[X][X][X][X],sub,alpha.irccloud.com
[h +s][+s][hw +s][-sw],top,alteregoapp.com
[h +s +https://www.intercom.io/][+s][hw +sw +https://www.intercom.io/][+sw],sub,api.intercom.io
[X][X][X][X],sub,api.mega.co.nz
[h -s][-s][hw -sw][-sw],sub,api.recurly.com
[h -s][-s][X][X],sub,api.simple.com
[h *sw][-s *sw][hw *sw][*sw],top,apollo-auto.com
[h +s +https://app-sc.recurly.com/login][+s][hw -sw][-sw],sub,app.recurly.com
[h +s][+s][hw +s][+sw],top,apps.co
[h *s][*s][hw *sw][*sw],top,appseccalifornia.org
[h hw][0s hw][hw][0sw],top,ariba.com
[h *s][*s][hw *s][*sw],top,arivo.com.br
[h +s][+s][X][X],sub,bank.simple.com
[X][X][hw +sw hw +sw][+sw],top,banking.co.at
[h *s][*s][hw][*sw],top,bassh.net
[X][*s *https://web.bccx.com/][X][X],top,bccx.com
[h][+s][hw h][-sw h],top,bcrook.com
[h +sw][-s +sw][hw +sw][+sw],top,bespokepost.com
[h +https://netbetsport.fr/][X][hw +https://netbetsport.fr/][X],top,betnet.fr
[h][*s][hw][*sw],top,binary.com
[h +s][+s][hw +s][+sw +s],top,bitbucket.org
[h *s][*s][hw *s][-sw *s],top,bitminter.com
[h *s][*s][X][X],sub,blog.cyveillance.com
[h +s][+s][X][X],sub,blog.linode.com
[h +s][+s][X][X],sub,blog.torproject.org
[h][+s][hw h][+sw +s],top,blogun.ru
[h][-s][hw h][-sw -s],top,blueseed.co
[h hw +sw][X][hw][+sw],top,boundless.com
[X][-s][X][-sw +sw],top,braintreegateway.com
[h +sw][-s +sw][hw +sw][+sw],top,braintreepayments.com
[h *https://login.persona.org/][-s *https://login.persona.org/][hw *https://login.persona.org/][-sw *https://login.persona.org/],top,browserid.org
[h +s][+s][hw h +s][-sw],top,bugcrowd.com
[h *s][*s][X][-sw *s],sub,bugzilla.mozilla.org
[X][*s][X][X],sub,business.medbank.com.mt
[h +s][+s][X][X],top,carezone.com
[h hw *sw][X][hw][*sw],top,carlolly.co.uk
[h *sw][*s][hw *sw][*sw],top,cert.se
[h][+s][X][X],sub,check.torproject.org
[h *s][*s][X][X],top,cloudns.com.au
[h +https://meocloud.pt/][+s +https://meocloud.pt/][hw +https://meocloud.pt/][+sw +https://meocloud.pt/],top,cloudpt.pt
[h *s][*s][hw -sw *s][-sw],top,cloudsecurityalliance.org
[h +s][+s][hw +s][-sw +s],top,cloudup.com
[h +sw][-s +sw][hw +sw][+sw],top,codeur.com
[h +s][+s][hw +s][-sw +s],top,coinbase.com
[h +sw][-s +sw][hw +sw][+sw],top,commbank.com.au
[h hw][-s 0sw hw][hw][0sw],top,computerbase.de
[h *sw][*s][hw *sw][*sw],top,conformal.com
[h *s][*s][X][X],sub,controlcenter.gigahost.dk
[h +s][+s][hw +s][-sw +s],top,conyac.cc
[h *sw][-s *sw][X][*sw],top,cortalconsors.de
[h *s][*s][hw *sw][*sw],top,crate.io
[h +s][+s][hw +s][-sw +s],top,creativemarket.com
[h +s][+s][X][X],sub,crm.onlime.ch
[h][+s][hw][+sw],top,crocko.com
[h -s +sw][-s][hw +sw][+sw],top,crowdcurity.com
[h +sw][+s +sw][hw +sw][+sw],top,crowdtilt.com
[h +s][+s][hw +s][+sw],top,crypto.cat
[h][-s][hw -s][-sw -s],top,crypto.is
[h -s *https://ctf.isis.poly.edu/][-s][X][X],sub,csawctf.poly.edu
[h +sw][-s +sw][hw +sw][+sw],top,cueup.com
[h hw +sw][X][hw][+sw],top,customerlobby.com
[h hw][X][hw][X],top,cyberoam.com
[h hw +sw -https://kintone.cybozu.com/us/][X][hw][+sw],top,cybozu.com
[h *sw][*s *sw][hw *sw][*sw],top,cyphertite.com
[h *sw][*s][hw *sw][*sw],top,cyveillance.com
[h +s][+s][hw +sw][+sw],top,dashboard.io
[h +s hw +sw][+s][hw][+sw],top,desktimeapp.com
[h +s][+s][hw +s][-sw +s],sub,developer.mydigipass.com
[h +sw][-s +sw][hw +sw][+sw],top,digitalocean.com
[h +s][+s][X][X],sub,dist.torproject.org
[X][+s +https://www.lookout.com/][X][X],sub,dm.lookout.com
[X][+s +https://www.lookout.com/][X][X],sub,dm.mylookout.com
[X][X][X][X],top,do(base_url
[h +s][+s][hw +sw][+sw],top,do.com
[h *sw][*s][hw *sw][*sw],top,docusign.net
[h +s][+s][hw +s][-sw +s],top,domai.nr
[h][+s][X][X],sub,download.jitsi.org
[h +sw][-s +sw][hw +sw][+sw],top,doximity.com
[h +s *sw][+s][hw *sw][*sw],top,dropbox.com
[h +sw][-s +sw][hw +sw][+sw],top,dropcam.com
[h +s][+s][hw +s][-sw +s],top,duckduckgo.com
[h +s][+s][hw +s][-sw +s],top,ducksboard.com
[h][+s][X][X],sub,ebanking.indovinabank.com.vn
[h +s][+s][hw +sw][+sw],top,editorially.com
[h hw *sw][-s *sw][hw][*sw],top,eff.org
[h -s][-s][hw -sw][-sw],top,elanex.biz
[h -s][-s][hw -s][-sw -s],top,emailprivacytester.com
[h hw +sw][-s +sw][hw][+sw],top,engineyard.com
[h +s][+s][hw +sw +s][+sw],top,entropia.de
[h +sw][-s +sw][hw +sw][+sw],top,epay.bg
[h +s][+s][hw +s][+sw +s],top,epoxate.com
[X][X][X][X],top,espra.com
[h hw][-s hw][hw][*sw hw],top,etsy.com
