[h +sw][hw +sw][X][+sw],aclu.org
[h +sw][hw +sw][X][+sw],airbnb.ca
[h +sw][hw +sw][X][+sw],airbnb.co.uk
[h +sw][hw +sw][+s +sw][+sw],airbnb.com
[h +sw][hw +sw][X][+sw],airbnb.com.au
[h +sw][hw +sw][X][+sw],airbnb.es
[h +sw][hw +sw][X][+sw],airbnb.it
[h +sw][hw +sw][X][+sw],airbnb.nl
[h +sw][hw +sw][X][+sw],airbnb.ru
[h +s -https://www.aladdin.ie][X][+s][X],aladdinschools.appspot.com
[X][X][X][X],alpha.irccloud.com
[h +s][hw +s][+s][X],alteregoapp.com
[h +s +https://www.intercom.io/][X][+s][X],api.intercom.io
[X][X][X][X],api.mega.co.nz
[h -s][X][-s][X],api.recurly.com
[h -s][X][-s][X],api.simple.com
[h +sw][hw +sw][X][+sw],apollo-auto.com
[h +s +https://app-sc.recurly.com/login][X][+s][X],app.recurly.com
[h +s][hw +s][+s][+sw],apps.co
[h +s][hw +sw][+s][+sw],appseccalifornia.org
[h hw][hw][+s hw][+sw],ariba.com
[h +s][hw +s][+s][+sw],arivo.com.br
[h +s][X][+s][X],bank.simple.com
[X][hw +sw hw +sw][X][+sw],banking.co.at
[h +s][hw][+s][+sw],bassh.net
[X][X][+s +https://web.bccx.com/][X],bccx.com
[h][hw h][+s][-sw h],bcrook.com
[h +sw][hw +sw][-s +sw][+sw],bespokepost.com
[X][X][X][X],betnet.fr
[h][hw][+s][+sw],binary.com
[h +s][hw +s][+s][+sw +s],bitbucket.org
[h +s][hw +s][+s][-sw +s],bitminter.com
[h +s][X][+s][X],blog.cyveillance.com
[h +s][X][+s][X],blog.linode.com
[h +s][X][+s][X],blog.torproject.org
[h][hw h][+s][+sw +s],blogun.ru
[h][hw h][-s][X],blueseed.co
[h hw +sw][hw][X][+sw],boundless.com
[X][X][-s][-sw +sw],braintreegateway.com
[h +sw][hw +sw][-s +sw][+sw],braintreepayments.com
[h +https://login.persona.org/][hw +https://login.persona.org/][-s +https://login.persona.org/][-sw +https://login.persona.org/],browserid.org
[h +s][hw h +s][+s][X],bugcrowd.com
